Type,Agriculture,Mining,Manufacturing,EGW,Construction,Public,All_other_industries,Households,Imports,Subtype
Masonary materials,28737,17959,33594,162603,18513,159819,12140,160963,-,Asphalt
,81313,50336,90831,166433,24087,167456,34024,167753,26387,Bricks
,167979,141487,157824,147000,67534,155984,95638,161313,158250,Concrete
,168094,160363,153519,160711,76455,167337,105397,141733,29867,Rubble (d)
,13974,19587,23834,124742,14139,187440,16481,143374,11701,Plasterboard & cement sheeting
Metals,112836,76236,152094,157593,33425,127030,51532,167169,132247,Steel
,17825,15361,13274,69506,12318,49817,13624,113714,81029,Aluminium
,16552,14467,10924,57285,11941,43936,13019,94753,62776,Non-ferrous metals (e)
Organics,19369,28634,19365,157896,12775,120168,19355,167404,169217,Food organics
,39785,23426,69976,152775,11786,149966,15834,146918,169196,Garden organics
,74554,44281,127917,126960,22085,125612,29932,149312,141188,Timber
,39472,23248,73247,157982,11693,156921,15715,143159,152332,Other organics
,55543,32712,103118,145311,16453,120222,22112,163912,-,Non-contaminated biosolids
Paper & Cardboard,78134,54798,143712,147562,23146,167015,37041,162409,145535,Cardboard
,10509,10359,10950,14939,10151,12231,10242,17610,19098,Liquid paperboard
,15911,11204,29662,154133,14713,70100,17573,157666,153351,Newsprint & magazines
,20536,14466,38328,159149,16083,89962,19778,156859,36063,Office paper
Plastics,18348,15881,15581,80958,12473,36571,13975,124744,152505,Polyethylene terephthalate (PET)
,16799,14724,12116,63185,12014,36470,13193,100205,154864,High density polyethylene (HDPE)
,10147,10103,10274,11424,10044,10643,10070,12194,16042,Polyvinyl chloride (PVC)
,19095,16406,16974,88197,2694,39841,14330,135898,-,Low density polyethylene (LDPE)
,12832,11995,15285,27461,10839,12405,11348,42313,82546,Polypropylene (PP)
,11345,10943,12476,12878,10398,16288,10638,20012,19039,Polystyrene (PS)
,11276,17797,19759,103185,13340,64425,15270,165390,143504,Other plastics
Glass,18513,15969,15642,81372,12522,40190,14035,126615,165448,Glass
Textiles,12199,11485,13542,18628,10652,16209,11004,31502,163171,Textiles
,13286,19359,24797,128844,13936,58203,16326,158530,87146,Leather & rubber (f)
Hazardous,12841,19046,23967,124530,13804,56254,16114,151882,-,Tyres
,153694,143530,157404,167798,63303,165286,97019,154655,-,Other hazardous waste
Ash,-,-,38375,165407,165894,-,-,-,-,Ash from coal-fired power stations
Other,13371,12348,16060,31579,1999,17470,1587,49810,125450,Other unclassified materials
