Type,Agriculture,Mining,Manufacturing,EGW,Construction,Public,All_other_industries,Households,Imports,Subtype,
Masonry materials,23646,42850,154043,11303,158230,15983,141587,-,-,Asphalt,
,46313,83697,157336,22154,159935,31305,152421,12636,-,Bricks,
,146347,165672,145673,69924,165427,98923,154417,47732,-,Concrete,
,164075,161408,162818,78150,168935,110906,160466,158883,-,Rubble (d),
,19823,24708,129140,14221,84467,16640,158370,10488,-,Plasterboard & cement sheeting,
Metals,78185,146682,161760,34285,149371,52849,165510,141129,153095,Steel,
,15996,14838,77701,12593,55869,14053,127184,74545,11531,Aluminium,
,14369,10576,55527,11906,44894,12953,92673,60186,13569,Non-ferrous metals (e),
Organics,27925,19365,159914,12775,143184,18876,162368,168790,154882,Food organics,
,23449,68996,164742,11624,154379,15851,167423,155043,-,Garden organics,
,43285,125634,167144,22524,159380,29259,158196,139390,23652,Timber,
,26968,84171,157154,13437,168501,18229,152068,142523,13758,Other organics,
,35437,110601,142872,17646,150381,23954,151719,-,-,Non-contaminated biosolids,
Paper & Cardboard,66757,155601,153135,28161,157822,45125,146101,138761,15591,Cardboard,
,10152,10402,2087,10064,10943,10102,13216,16673,-,Liquid paperboard,
,157088,18777,97565,12981,44108,14791,150346,152918,-,Newsprint & magazines,
,14338,11495,59725,11824,26980,12932,92027,44626,-,Office paper,
Plastics,11484,13932,20433,10624,19230,11003,31484,146695,11320,Polyethylene terephthalate (PET),
,17595,19302,100766,13250,61810,15134,161116,141976,-,High density polyethylene (HDPE),
,10166,10436,2269,10070,11086,10112,13518,33911,10173,Polyvinyl chloride (PVC),
,18843,23431,121746,13719,54996,15978,157593,13240,-,Low density polyethylene (LDPE),
,13313,18779,45615,11393,20606,12240,70286,62632,-,Polypropylene (PP),
,10874,12299,11953,10369,15732,10591,18537,17864,10603,Polystyrene (PS),
,15744,14838,77316,12442,42497,13883,121852,158811,10065,Other plastics,
Glass,16623,17364,90327,12798,44455,14477,140492,153645,18563,Glass,
Textiles,10505,11016,15466,10234,18847,10341,10712,167094,13398,Textiles,
,10520,27874,144827,14424,65423,17111,153157,16553,-,Leather & rubber (f),
Hazardous,19195,24364,126591,13867,57185,16216,155057,-,15415,Tyres,
,145248,153392,158082,63926,163491,98180,161091,-,150917,Other hazardous waste,
Ash,-,38965,165136,165123,-,-,-,-,-,Ash from coal-fired power stations,
Other,13012,17854,40882,11276,21002,12036,63903,140674,-,Other unclassified materials,
